COLUMN,QUESTION/ATTRIBUTE,RESPONSE TYPE,ENCODING,CATEGORY CODES
year,Year of survey,Numerical,,
age,Age,Numerical,,
gender,Gender,Categorical,Binary,0 - Male; 1 - Female
congressional_district,State and congressional district of R,Categorical,,
state,State of R,Categorical,,
weight,Sampling weight,Numerical,,
VCF0018a,Language of interview (pre),Categorical,Binary,0 - English; 1 - Some or all in Spanish
VCF0018b,Language of interview (post),Categorical,Binary,0 - English; 1 - Some or all in Spanish
VCF0108,If Hispanic,Categorical,Binary,0 - No; 1 - Yes
VCF0113,From South,Categorical,Binary,0 - Non-south; 1 - South
VCF0127,Household Union Membership,Categorical,Binary,0 - No one is union member; 1 - Someone in household is union member
VCF0143,Parents native-born,Categorical,Binary,"0 - No, 1 - Yes"
VCF0146,Home Ownership,Categorical,Binary,"0 - No, 1 - Yes"
VCF0311,Care who wins presidential election,Categorical,Binary,"0 - Not really, 1 - Yes"
VCF0346,President made R feel angry?,Categorical,Binary,0 - No; 1 - Yes
VCF0347,President made R feel afraid?,Categorical,Binary,0 - No; 1 - Yes
VCF0348,President made R feel hopeful?,Categorical,Binary,0 - No; 1 - Yes
VCF0349,President made R feel proud?,Categorical,Binary,0 - No; 1 - Yes
VCF0358,Dem pres candidate made R feel angry?,Categorical,Binary,0 - No; 1 - Yes
VCF0359,Dem pres candidate made R feel afraid?,Categorical,Binary,0 - No; 1 - Yes
VCF0360,Dem pres candidate made R feel hopeful?,Categorical,Binary,0 - No; 1 - Yes
VCF0361,Dem pres candidate made R feel proud?,Categorical,Binary,0 - No; 1 - Yes
VCF0370,Rep pres candidate made R feel angry?,Categorical,Binary,0 - No; 1 - Yes
VCF0371,Rep pres candidate made R feel afraid?,Categorical,Binary,0 - No; 1 - Yes
VCF0372,Rep pres candidate made R feel hopeful?,Categorical,Binary,0 - No; 1 - Yes
VCF0373,Rep pres candidate made R feel proud?,Categorical,Binary,0 - No; 1 - Yes
VCF0374,Like anything: Democratic party,Categorical,Binary,0 - No; 1 - Yes
VCF0380,Dislike anything: Democratic party,Categorical,Binary,0 - No; 1 - Yes
VCF0386,Like anything: Republican party,Categorical,Binary,0 - No; 1 - Yes
VCF0392,Dislike anything: Republican party,Categorical,Binary,0 - No; 1 - Yes
VCF0475,Like anything: Democratic presidential candidate,Categorical,Binary,0 - No; 1 - Yes
VCF0481,Dislike anything: Democratic presidential candidate,Categorical,Binary,0 - No; 1 - Yes
VCF0487,Like anything: Republican presidential candidate,Categorical,Binary,0 - No; 1 - Yes
VCF0493,Dislike anything: Republican presidential candidate,Categorical,Binary,0 - No; 1 - Yes
VCF0450,Approve President Performance,Categorical,Binary,0 - No; 1 - Yes
VCF0501,Difference between major parties,Categorical,Binary,0 - No; 1 - Yes
VCF0702,Did respondent vote in national election?,Categorical,Binary,0 - No; 1 - Yes
VCF0704a,Vote for President (2 party),Categorical,Binary,0 - Republican; 1 - Democrat
VCF0707,Vote for Congressman,Categorical,Binary,0 - Republican; 1 - Democrat
VCF0708,Vote for Senator,Categorical,Binary,0 - Republican; 1 - Democrat
VCF0717,Did R try to influence vote of others,Categorical,Binary,0 - No; 1 - Yes
VCF0718,Did R attend meetings/rallies,Categorical,Binary,0 - No; 1 - Yes
VCF0719,Did R work for party or candidate during campaign,Categorical,Binary,0 - No; 1 - Yes
VCF0720,Did R display button/sticker during campaign,Categorical,Binary,0 - No; 1 - Yes
VCF0721,Did R donate money to party or campaign,Categorical,Binary,0 - No; 1 - Yes
VCF0724,Did R watch TV programs about the election,Categorical,Binary,0 - No; 1 - Yes
VCF0729,Knows party with House majority prior to election?,Categorical,Binary,0 - Incorrect; 1 - Correct
VCF0731,Did R discuss politics with family and friends,Categorical,Binary,0 - No; 1 - Yes
VCF0740,Contribute to party during campaign,Categorical,Binary,0 - No; 1 - Yes
VCF0741,Contribute to PAC during campaign,Categorical,Binary,0 - No; 1 - Yes
VCF0742,Contribute to individual candidate,Categorical,Binary,0 - No; 1 - Yes
VCF0846,Is religion import to R,Categorical,Binary,0 - No; 1 - Yes
VCF0878,Allow LGBT to adopt children?,Categorical,Binary,0 - No; 1 - Yes
VCF0905,More than 1 candidate in house race?,Categorical,Binary,0 - One; 1 - Two or more
VCF9021,Did anyone talk to R about voting?,Categorical,Binary,0 - No; 1 - Yes
VCF9029,Presidential race in R's state be close?,Categorical,Binary,0 - No; 1 - Yes
VCF9030a,Contaced by any major party,Categorical,Binary,0 - No; 1 - Yes
VCF9030b,Contacted by democratic party,Categorical,Binary,0 - No; 1 - Yes
VCF9030c,Contacted by republican party,Categorical,Binary,0 - No; 1 - Yes
VCF9031,Contacted by other party,Categorical,Binary,0 - No; 1 - Yes
VCF0204,Thermometer: Catholics,Numerical,,
VCF0206,Thermometer: Blacks,Numerical,,
VCF0207,Thermometer: Whites,Numerical,,
VCF0209,Thermometer: Big Business,Numerical,,
VCF0210,Thermometer: Labor Unions,Numerical,,
VCF0211,Thermometer: Liberals,Numerical,,
VCF0212,Thermometer: Conservatives,Numerical,,
VCF0213,Thermometer: Military,Numerical,,
VCF0217,Thermometer: Hispanics,Numerical,,
VCF0218,Thermometer: Democratic Party,Numerical,,
VCF0219,Thermometer: Middle Class,Numerical,,
VCF0220,Thermometer: People on Welfare,Numerical,,
VCF0223,Thermometer: Poor people,Numerical,,
VCF0224,Thermometer: Republican Party,Numerical,,
VCF0227,Thermometer: Asian Americans,Numerical,,
VCF0228,Thermometer: Congress,Numerical,,
VCF0231,Thermometer: The Federal Government,Numerical,,
VCF0232,Thermometer: LGBT,Numerical,,
VCF0233,Thermometer: Illegal Aliens,Numerical,,
VCF0234,Thermometer: Christian Fundamentalists,Numerical,,
VCF0253,Thermometer: Feminists,Numerical,,
VCF0290,Thermometer: Both Parties,Numerical,,
VCF0906,Thermometer: Dem house candidate,Numerical,,
VCF0907,Thermometer: Rep house candidate,Numerical,,
VCF0908,Thermometer: Incumbent house candidate,Numerical,,
VCF0909,Thermometer: Challenger house candidate,Numerical,,
VCF0291,Index: Major Party,Numerical,,
VCF0412,Thermometer: Both pres candidates,Numerical,,
VCF0413,Index: Both pres cand,Numerical,,
VCF0414,Thermometer: Both VP candidates,Numerical,,
VCF0415,Index Both VP cand,Numerical,,
VCF0424,Thermometer: Democratic presidential candidate,Numerical,,
VCF0425,Thermometer: Democratic VP candidate,Numerical,,
VCF0426,Thermometer: Republican presidential candidate,Numerical,,
VCF0427,Thermometer: Republican VP candidate,Numerical,,
VCF0428,Thermometer: US President,Numerical,,
VCF0429,Thermometer: US Vice President,Numerical,,
VCF0471,Thermometer: Hillary Clinton,Numerical,,
VCF9005,Thermometer: Supreme Court,Numerical,,
VCF9056,Thermometer: Democratic senate candidate,Numerical,,
VCF9057,Thermometer: Republican senate candidate,Numerical,,
VCF0649,Index: Government Responsiveness,Numerical,,
VCF0656,Index: Trust in Government,Numerical,,
VCF0801,Index: Ideology,Numerical,,
VCF0138,Number of children,Numerical,,
VCF0723,Campaign Participation,Numerical,,
VCF0733,How often in the last week has R discussed politics,Numerical,,
VCF1015,Number of days pre-interview conducted before election,Numerical,,
VCF1016,Number of days post-interview conducted after election,Numerical,,
VCF0114,Income Group,Categorical - Range,Range Bounds,Lower Bound; Upper Bound
VCF0503,"Scale, liberal-conservative: Democratic Party",Categorical,Ordinal,1 - Extremely liberal; 2 - liberal; 3 - Slightly liberal; 4 - moderate; 5 - slightly conservative; 6 - conservative; 7 - extremely conservative
VCF0504,"Scale, liberal-conservative: Republican Party",Categorical,Ordinal,1 - Extremely liberal; 2 - liberal; 3 - Slightly liberal; 4 - moderate; 5 - slightly conservative; 6 - conservative; 7 - extremely conservative
VCF0513,"Scale, job security: Democratic Party",Categorical,Ordinal,1 - Government should guarantee everyone a good job and standard of living; 7 - Government should let each perosn get ahead on his own
VCF0514,"Scale, job security: Republican Party",Categorical,Ordinal,1 - Government should guarantee everyone a good job and standard of living; 7 - Government should let each perosn get ahead on his own
VCF0541,"Scale, gvmt services: Democratic Party",Categorical,Ordinal,1 - Government should provide fewer services; 7 - Government should provide more services
VCF0542,"Scale, gvmt services: Republican Party",Categorical,Ordinal,1 - Government should provide fewer services; 7 - Government should provide more services
VCF0549,"Scale, defense spending: Democratic Party",Categorical,Ordinal,1 - Government should greatly reduce military spending; 7 - Government should greatly increase military spending
VCF0550,"Scale, defense spending: Republican Party",Categorical,Ordinal,1 - Government should greatly reduce military spending; 7 - Government should greatly increase military spending
VCF0803,"Scale, liberal-conservative: Self",Categorical,Ordinal,1 - Extremely liberal; 2 - liberal; 3 - Slightly liberal; 4 - moderate; 5 - slightly conservative; 6 - conservative; 7 - extremely conservative
VCF0806,"Scale, health insurance: Self",Categorical,Ordinal,1 - Government insurance plan; 7 - Private insurance plan
VCF0830,"Scale, aid to blacks: Self",Categorical,Ordinal,1 - Gvmt should help more; 7 - Blacks should help themselves
VCF9081,"Scale, defense spending: Democratic presidential candidate",Categorical,Ordinal,1 - Government should greatly reduce military spending; 7 - Government should greatly increase military spending
VCF9084,"Scale, aid to blacks: Democratic presidential candidate",Categorical,Ordinal,1 - Gvmt should help more; 7 - Blacks should help themselves
VCF9085,"Scale, health insurance: Democratic presidential candidate",Categorical,Ordinal,1 - Government insurance plan; 7 - Private insurance plan
VCF9086,"Scale, gvmt services: Democratic presidential candidate",Categorical,Ordinal,1 - Government should provide fewer services; 7 - Government should provide more services
VCF9087,"Scale, job security: Democratic presidential candidate",Categorical,Ordinal,1 - Government should guarantee everyone a good job and standard of living; 7 - Government should let each perosn get ahead on his own
VCF9089,"Scale, defense spending: Republican presidential candidate",Categorical,Ordinal,1 - Government should greatly reduce military spending; 7 - Government should greatly increase military spending
VCF9092,"Scale, aid to blacks: Republican presidential candidate",Categorical,Ordinal,1 - Gvmt should help more; 7 - Blacks should help themselves
VCF9093,"Scale, health insurance: Republican presidential candidate",Categorical,Ordinal,1 - Government insurance plan; 7 - Private insurance plan
VCF9094,"Scale, gvmt services: Republican presidential candidate",Categorical,Ordinal,1 - Government should provide fewer services; 7 - Government should provide more services
VCF9095,"Scale, job security: Democratic presidential candidate",Categorical,Ordinal,1 - Government should guarantee everyone a good job and standard of living; 7 - Government should let each perosn get ahead on his own
VCF0886,Federal spending on aiding the poor should be __,Categorical,Ordinal,1 - Increased; 2 - Stay same; 3 - Decreased
VCF0887,Federal spending on child care should be __,Categorical,Ordinal,1 - Increased; 2 - Stay same; 3 - Decreased
VCF0888,Federal spending on dealing with crime should be __,Categorical,Ordinal,1 - Increased; 2 - Stay same; 3 - Decreased
VCF0890,Federal spending on public schools should be __,Categorical,Ordinal,1 - Increased; 2 - Stay same; 3 - Decreased
VCF0894,Federal spending on welfare programs should be __,Categorical,Ordinal,1 - Increased; 2 - Stay same; 3 - Decreased
VCF9047,Federal spending to protect the environment should be __,Categorical,Ordinal,1 - Increased; 2 - Stay same; 3 - Decreased
VCF9048,Federal spending on space/science/technology should be __,Categorical,Ordinal,1 - Increased; 2 - Stay same; 3 - Decreased
VCF9049,Federal spending on social security should be __,Categorical,Ordinal,1 - Increased; 2 - Stay same; 3 - Decreased
VCF0851,Newer lifestyles contrbute to breakdown of society,Categorical,Ordinal,1 - Agree strongly; 2 - Agree somewhat; 3 - Neither; 4 - Disagree somewhat; 5 - Disagree strongly
VCF0852,One should adjust view of moral behavior to changes in society,Categorical,Ordinal,1 - Agree strongly; 2 - Agree somewhat; 3 - Neither; 4 - Disagree somewhat; 5 - Disagree strongly
VCF0853,There should be more emphasis on traditional values,Categorical,Ordinal,1 - Agree strongly; 2 - Agree somewhat; 3 - Neither; 4 - Disagree somewhat; 5 - Disagree strongly
VCF0854,One should be more tolerant of different moral standards,Categorical,Ordinal,1 - Agree strongly; 2 - Agree somewhat; 3 - Neither; 4 - Disagree somewhat; 5 - Disagree strongly
VCF9013,Society should ensure everyone has equal opportunity to succeed.,Categorical,Ordinal,1 - Agree strongly; 2 - Agree somewhat; 3 - Neither; 4 - Disagree somewhat; 5 - Disagree strongly
VCF9014,We have gone too far pushing equal rights in this country.,Categorical,Ordinal,1 - Agree strongly; 2 - Agree somewhat; 3 - Neither; 4 - Disagree somewhat; 5 - Disagree strongly
VCF9015,It is a big problem that not everyone has equal opportunities.,Categorical,Ordinal,1 - Agree strongly; 2 - Agree somewhat; 3 - Neither; 4 - Disagree somewhat; 5 - Disagree strongly
VCF9016,It is not a big problem if some have more opportunities in life.,Categorical,Ordinal,1 - Agree strongly; 2 - Agree somewhat; 3 - Neither; 4 - Disagree somewhat; 5 - Disagree strongly
VCF9017,We should worry less about how equal people are.,Categorical,Ordinal,1 - Agree strongly; 2 - Agree somewhat; 3 - Neither; 4 - Disagree somewhat; 5 - Disagree strongly
VCF9018,US would have fewer problems if everyone were treated equally.,Categorical,Ordinal,1 - Agree strongly; 2 - Agree somewhat; 3 - Neither; 4 - Disagree somewhat; 5 - Disagree strongly
VCF9039,Conditions make it difficult for blacks to succeed,Categorical,Ordinal,1 - Agree strongly; 2 - Agree somewhat; 3 - Neither; 4 - Disagree somewhat; 5 - Disagree strongly
VCF9040,Blacks should not have special favors to succeed,Categorical,Ordinal,1 - Agree strongly; 2 - Agree somewhat; 3 - Neither; 4 - Disagree somewhat; 5 - Disagree strongly
VCF9041,Blacks must try harder to succeed,Categorical,Ordinal,1 - Agree strongly; 2 - Agree somewhat; 3 - Neither; 4 - Disagree somewhat; 5 - Disagree strongly
VCF9042,Blacks have gotten less than they deserve over the past few years,Categorical,Ordinal,1 - Agree strongly; 2 - Agree somewhat; 3 - Neither; 4 - Disagree somewhat; 5 - Disagree strongly
VCF0110,"Education, 4 category",Categorical,Ordinal,1 - Grade School; 2 - High School; 3 - Some college; 4 - college or advanced degree
VCF0140a,"Education, 7 category",Categorical,Ordinal,"1 - 8 grades or less; 2 - 9-12 grades; 3 - HS or equivalent; 4 - HS and non-academic; 5 - some college, no degree; 6 - bachelors; 7 - advanced"
VCF0127a,Who Belongs to Union,Categorical,Ordinal,"0 - No one/NA; 1 - Other Household Member; 2 - Spouse; 3 - Respondent; 4 - Other and Spouse; 5 - R and Other; 6 - R and Spouse; 7 - R, Spouse, and Other"
VCF0130,Church Attendance,Categorical,Ordinal,1 - Never; 2 - Few times per year; 3 - Once or twice a month; 4 - Almost every week; 5 - Every week
VCF0148,Social Class,Categorical,Ordinal,1 - Lower; 2 - Average working; 3 - Working (NA avg or upper); 4 - Upper working; 4 - Avg Middle; 5 - Middle (NA); 6 - Upper Middle; 7 - Upper
VCF0301,"Party Identification, 7 categories",Categorical,Ordinal,1 - strong democrat; 2 - weak democrat; 3 - independent democrat; 4 - independent; 5 - independent republican; 6 - weak republican; 7 - strong republican
VCF0303,"Party Identification, 3 categories",Categorical,Ordinal,1 - democrat; 2 - independent; 3 - republican
VCF0305,Strength of partisanship,Categorical,Ordinal,"1 - independent, 2 - lean independent, 3 - weak partisan, 4 - strong partisan"
VCF0310,Interest in the elections,Categorical,Ordinal,"1 - not much interested, 2 - somewhat interested, 3 - very much interested"
VCF0451,"Strength of approval, president",Categorical,Ordinal,1 - Disapprove strongly; 2 - Disapprove; 3 - Approve; 4 - Approve strongly
